# https://chainz.cryptoid.info/ and whois results
# Magi
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.131.5.234|/m-core:1.4.6.2/|71065||||||
108.11.214.203|/m-core:1.4.6.2/|71065||||||
108.192.159.84|/m-core:1.4.6.2/|71065||||||
111.68.31.138|/m-core:1.4.6.2/|71065||||||
124.104.125.100|/m-core:1.4.6.2/|71065||||||
147.135.97.55|/m-core:1.4.6.2/|71065||||||
161.129.146.43|/m-core:1.4.6.2/|71065||||||
161.53.40.242|/m-core:1.4.6.2/|71065||||||
173.72.24.4|/m-core:1.4.6.2/|71065||||||
174.85.241.30|/m-core:1.4.6.2/|71065||||||
178.162.194.66|/m-core:1.4.6.2/|71065||||||
178.17.171.90|/m-core:1.4.6.2/|71065||||||
18.205.59.33|/m-core:1.4.6.2/|71065||||||
185.148.3.233|/m-core:1.4.6.2/|71065||||||
185.148.3.236|/m-core:1.4.6.2/|71065||||||
185.185.40.194|/m-core:1.4.6.2/|71065||||||
185.198.56.115|/m-core:1.4.6.2/|71065||||||
185.198.56.175|/m-core:1.4.6.2/|71065||||||
185.86.79.11|/m-core:1.4.6.2/|71065||||||
186.4.53.188|/m-core:1.4.6.2/|71065||||||
187.21.73.103|/m-core:1.4.6.2/|71065||||||
188.68.34.242|/m-core:1.4.6.2/|71065||||||
189.174.128.27|/m-core:1.4.6.2/|71065||||||
192.164.149.23|/m-core:1.4.6.2/|71065||||||
193.124.182.62|/m-core:1.4.6.2/|71065||||||
194.165.230.33|/m-core:1.4.6.2/|71065||||||
195.177.251.9|/m-core:1.4.7.2/|71065|1853|195.177.250.0/23|AT|ripencc|2003-11-18|ACONET ACOnet Backbone, AT
204.112.223.228|/m-core:1.4.6.2/|71065||||||
207.244.70.86|/m-core:1.4.6.2/|71065||||||
207.96.78.120|/m-core:1.4.6.2/|71065||||||
213.5.32.42|/m-core:1.4.6.2/|71065||||||
213.6.132.17|/m-core:1.4.6.2/|71065|12975|213.6.128.0/17|PS|ripencc|2006-05-10|PALTEL-AS PALTEL Autonomous System, PS
217.100.21.99|/m-core:1.4.7.2/|71065||||||
218.214.105.208|/m-core:1.4.6.2/|71065|9443|218.214.0.0/16|AU|apnic|2003-06-19|VOCUS-RETAIL-AU Vocus Retail, AU
37.120.132.91|/m-core:1.4.6.2/|71065|9009|37.120.132.0/24|RO|ripencc|2012-02-13|M247, GB
38.39.70.20|/m-core:1.4.6.2/|71065|32277|38.39.64.0/19|US|arin|1991-04-16|TBAYTEL, CA
45.127.44.114|/m-core:1.4.6.2/|71065|134674|45.127.44.0/24|IN|apnic|2015-09-14|TATASKYBROADBAND-AS-AP TATA SKY BROADBAND PRIVATE LIMITED, IN
46.13.135.183|/m-core:1.4.6.2/|71065|13036|46.13.128.0/17|CZ|ripencc|2010-09-24|TMOBILE-, CZ
5.230.69.128|/m-core:1.4.6.2/|71065|12586|5.230.69.0/24|DE|ripencc|2012-09-11|ASGHOSTNET, DE
5.230.69.132|/m-core:1.4.6.2/|71065|12586|5.230.69.0/24|DE|ripencc|2012-09-11|ASGHOSTNET, DE
50.53.244.60|/m-core:1.4.6.2/|71065|27017|50.53.0.0/16|US|arin|2010-09-24|ZIPLY-FIBER-LEGACY-ASN, US
51.89.116.25|/m-core:1.4.6.2/|71065|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
