# https://chainz.cryptoid.info/ and whois results
# CloakCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.1.17.76|/KlausFuchs:2.2.2.2/|60018|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
103.107.197.3|/KlausFuchs:2.2.2.2/|60018|137409|103.107.197.0/24|AU|apnic|2018-01-17|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.107.197.4|/KlausFuchs:2.2.2.2/|60018||||||
104.254.42.216|/KlausFuchs:2.2.2.2/|60018||||||
107.181.180.171|/KlausFuchs:2.2.2.2/|60018||||||
108.213.47.150|/KlausFuchs:2.2.2.2/|60018||||||
108.223.84.131|/KlausFuchs:2.2.2.2/|60018||||||
110.175.160.151|???|0|7545|110.175.160.0/24|AU|apnic|2009-05-08|TPG-INTERNET-AP TPG Telecom Limited, AU
112.173.57.228|/KlausFuchs:2.2.2.2/|60018||||||
116.203.113.137|/KlausFuchs:2.2.2.2/|60018||||||
118.93.186.15|/SidneyReilly:0.7.8/|60018|9500|118.93.0.0/16|NZ|apnic|2007-08-24|VODAFONE-TRANSIT-AS Vodafone NZ Ltd., NZ
12.18.25.91|/KlausFuchs:2.2.2.1/|60018|7018|12.0.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
120.18.1.188|/KlausFuchs:2.2.2.2/|60018||||||
13.229.99.77|/SidneyReilly:0.7.8/|60018|16509|13.228.0.0/15|US|arin|2019-10-01|AMAZON-02, US
131.93.228.226|/KlausFuchs:2.2.2.2/|60018||||||
139.28.218.235|/KlausFuchs:2.2.2.2/|60018||||||
143.176.213.159|/KlausFuchs:2.2.2.2/|60018||||||
146.200.136.72|/KlausFuchs:2.2.2.2/|60018||||||
146.70.75.117|/KlausFuchs:2.2.2.2/|60018||||||
154.71.238.77|/KlausFuchs:2.2.2.2/|60018||||||
156.38.89.173|/KlausFuchs:2.2.2.2/|60018||||||
162.39.184.113|/KlausFuchs:2.2.2.2/|60018||||||
172.4.177.229|/KlausFuchs:2.2.2.2/|60018||||||
172.58.62.200|/KlausFuchs:2.2.2.2/|60018||||||
174.50.80.55|/KlausFuchs:2.2.2.2/|60018||||||
174.62.6.67|/KlausFuchs:2.2.2.2/|60018||||||
174.75.4.125|/KlausFuchs:2.2.2.2/|60018||||||
174.84.207.122|/KlausFuchs:2.2.2.2/|60018||||||
176.10.243.233|/KlausFuchs:2.2.2.2/|60018|8473|176.10.128.0/17|SE|ripencc|2011-05-18|BAHNHOF www.bahnhof.net, SE
176.74.136.237|/KlausFuchs:2.2.2.2/|60018||||||
178.167.181.92|/KlausFuchs:2.2.2.2/|60018||||||
178.252.153.146|/SidneyReilly:0.7.8/|60018|51074|178.252.128.0/18|IR|ripencc|2010-05-27|MABNA, IR
178.42.124.75|/KlausFuchs:2.2.2.2/|60018||||||
185.159.157.9|/KlausFuchs:2.2.2.2/|60018||||||
185.228.229.176|/KlausFuchs:2.2.2.2/|60018||||||
185.245.86.196|/KlausFuchs:2.2.2.2/|60018||||||
190.96.1.19|/KlausFuchs:2.2.2.1/|60018||||||
193.228.193.57|/KlausFuchs:2.2.2.2/|60018||||||
193.57.121.28|/KlausFuchs:2.2.2.2/|60018||||||
193.70.44.101|/KlausFuchs:2.2.2.2/|60018||||||
195.201.184.178|/KlausFuchs:2.2.2.2/|60018||||||
199.167.89.52|/KlausFuchs:2.2.2.2/|60018||||||
202.65.73.206|/KlausFuchs:2.2.2.2/|60018||||||
206.51.178.97|/KlausFuchs:2.2.2.2/|60018||||||
208.38.253.200|/KlausFuchs:2.2.2.2/|60018||||||
212.53.219.183|/KlausFuchs:2.2.2.2/|60018||||||
213.136.67.100|/KlausFuchs:2.2.2.2/|60018||||||
213.162.80.142|/KlausFuchs:2.2.2.2/|60018||||||
213.167.79.24|/SidneyReilly:0.7.4.2/|60018|13173|213.167.64.0/19|GB|ripencc|2000-04-06|FORESHORE-AS, GB
213.55.241.53|/KlausFuchs:2.2.2.2/|60018||||||
216.220.250.148|/KlausFuchs:2.2.2.2/|60018||||||
216.220.251.165|/KlausFuchs:2.2.2.2/|60018||||||
217.138.211.236|/KlausFuchs:2.2.2.2/|60018||||||
23.82.142.138|/KlausFuchs:2.2.2.2/|60018||||||
24.132.197.199|/KlausFuchs:2.2.2.2/|60018||||||
24.22.176.193|/KlausFuchs:2.2.2.2/|60018||||||
24.228.49.153|/KlausFuchs:2.2.2.2/|60018||||||
3.112.138.57|/SidneyReilly:0.7.8/|60018|16509|3.112.0.0/14|US|arin|2017-12-20|AMAZON-02, US
34.244.108.66|/KlausFuchs:2.2.2.2/|60018||||||
34.253.222.221|/KlausFuchs:2.2.2.2/|60018||||||
37.49.93.30|/KlausFuchs:2.2.2.2/|60018||||||
38.97.210.246|/SidneyReilly:0.7.8/|60018|174|38.97.208.0/21|US|arin|1991-04-16|COGENT-174, US
39.100.65.111|/KlausFuchs:2.2.2.2/|60018||||||
45.132.225.121|/KlausFuchs:2.2.2.2/|60018||||||
46.101.235.143|/KlausFuchs:2.2.2.1/|60018||||||
47.215.237.27|/KlausFuchs:2.2.2.2/|60018||||||
5.43.242.20|/KlausFuchs:2.2.2.2/|60018||||||
5.43.243.92|/KlausFuchs:2.2.2.2/|60018||||||
52.166.50.170|/KlausFuchs:2.2.2.1/|60018|8075|52.160.0.0/11|US|arin|2015-11-24|MICROSOFT-CORP-MSN-AS-BLOCK, US
62.163.115.92|/KlausFuchs:2.2.2.2/|60018||||||
62.195.42.12|/KlausFuchs:2.2.2.2/|60018||||||
64.110.198.42|/SidneyReilly:0.7.8/|60018|803|64.110.192.0/18|CA|arin|2002-07-15|SASKTEL, CA
64.188.178.100|/KlausFuchs:2.2.2.2/|60018||||||
66.252.48.203|/KlausFuchs:2.2.2.2/|60018||||||
66.68.87.3|/KlausFuchs:2.2.2.2/|60018||||||
68.113.230.40|/KlausFuchs:2.2.2.2/|60018||||||
68.122.13.251|/KlausFuchs:2.2.2.2/|60018||||||
68.37.51.43|/KlausFuchs:2.2.2.1/|60018|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
69.243.26.205|/KlausFuchs:0.7.8/|60018|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
69.254.109.254|/KlausFuchs:2.2.2.2/|60018||||||
71.89.27.111|/KlausFuchs:2.2.2.2/|60018||||||
72.28.44.144|/KlausFuchs:2.2.2.2/|60018||||||
72.47.39.225|/KlausFuchs:2.2.2.2/|60018||||||
73.120.80.97|/KlausFuchs:2.2.2.1/|60018|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.145.241.87|/KlausFuchs:2.2.2.1/|60018|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
75.133.121.105|/SidneyReilly:0.7.8/|60018|20115|75.133.96.0/19|US|arin|2006-07-17|CHARTER-20115, US
75.143.143.129|/KlausFuchs:2.2.2.2/|60018||||||
75.75.70.80|/KlausFuchs:2.2.2.2/|60018||||||
76.22.91.115|/KlausFuchs:2.2.2.2/|60018|7922|76.16.0.0/12|US|arin|2006-06-28|COMCAST-7922, US
77.219.13.106|???|0|1257|77.216.0.0/14|SE|ripencc|2007-02-09|TELE2, EU
77.250.173.114|/KlausFuchs:2.2.2.2/|60018||||||
77.75.38.15|/KlausFuchs:2.2.2.1/|60018|42926|77.75.38.0/24|TR|ripencc|2007-05-03|RADORE, TR
79.140.118.176|/KlausFuchs:2.2.2.2/|60018|15366|79.140.112.0/20|DE|ripencc|2007-10-08|DNSNET German Internet Service Providers, DE
79.143.186.122|/KlausFuchs:2.2.2.2/|60018|51167|79.143.186.0/23|DE|ripencc|2010-01-08|CONTABO, DE
79.59.255.93|/KlausFuchs:2.2.2.2/|60018||||||
81.104.33.52|/KlausFuchs:2.2.2.2/|60018||||||
81.247.103.58|/KlausFuchs:2.2.2.1/|60018|5432|81.244.0.0/14|BE|ripencc|2002-11-29|PROXIMUS-ISP-AS, BE
82.217.253.208|/KlausFuchs:2.2.2.2/|60018||||||
82.73.36.26|/KlausFuchs:2.2.2.2/|60018||||||
83.128.101.141|/KlausFuchs:2.2.2.2/|60018||||||
83.162.241.6|/KlausFuchs:2.2.2.2/|60018||||||
83.247.116.245|/KlausFuchs:2.2.2.2/|60018||||||
83.85.95.64|/KlausFuchs:2.2.2.2/|60018|33915|83.84.0.0/14|NL|ripencc|2003-11-28|TNF-AS, NL
84.119.100.161|/KlausFuchs:2.2.2.2/|60018|3209|84.119.0.0/16|NL|ripencc|2004-04-07|VODANET International IP-Backbone of Vodafone, DE
84.155.120.133|/KlausFuchs:2.2.2.2/|60018|3320|84.128.0.0/10|DE|ripencc|2004-03-10|DTAG Internet service provider operations, DE
85.11.189.84|/KlausFuchs:2.2.2.2/|60018|207144|85.11.189.0/24|BG|ripencc|2005-03-01|BG-SOFCOMPANY-AS, BG
85.149.144.46|/KlausFuchs:2.2.2.2/|60018|5390|85.149.0.0/16|NL|ripencc|2004-10-06|EURONET, NL
85.19.25.38|/KlausFuchs:2.2.2.2/|60018||||||
85.203.44.99|/KlausFuchs:2.2.2.2/|60018|43350|85.203.44.0/24|NL|ripencc|2005-01-12|NFORCE, NL
85.222.190.145|/KlausFuchs:2.2.2.2/|60018|41897|85.222.176.0/20|RS|ripencc|2005-03-22|SAT-TRAKT-AS Serbia, RS
85.91.216.15|/KlausFuchs:2.2.2.2/|60018|6789|85.91.192.0/19|RU|ripencc|2004-11-30|CRELCOM-NET, RU
86.31.86.35|/KlausFuchs:2.2.2.2/|60018||||||
90.8.242.25|/KlausFuchs:2.2.2.2/|60018|3215|90.8.128.0/17|FR|ripencc|2006-03-02|France Telecom - Orange, FR
93.142.34.184|/SidneyReilly:0.7.8/|60018|5391|93.142.0.0/16|HR|ripencc|2008-04-23|T-HT Croatian Telecom Inc., HR
93.71.138.96|/KlausFuchs:2.2.2.2/|60018|30722|93.71.0.0/16|IT|ripencc|2008-03-17|VODAFONE-IT-ASN, IT
94.140.9.132|/KlausFuchs:2.2.2.2/|60018|136787|94.140.9.0/24|DE|ripencc|2008-11-28|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
94.214.20.21|/KlausFuchs:2.2.2.2/|60018|33915|94.212.0.0/14|NL|ripencc|2008-07-22|TNF-AS, NL
95.168.164.215|/KlausFuchs:2.2.2.2/|60018||||||
95.192.196.221|/KlausFuchs:2.2.2.2/|60018|3301|95.192.0.0/12|SE|ripencc|2009-01-08|TELIANET-SWEDEN Telia Company, SE
95.217.78.169|/KlausFuchs:2.2.2.2/|60018||||||
95.90.225.133|/KlausFuchs:2.2.2.2/|60018|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.91.236.135|/KlausFuchs:2.2.2.2/|60018|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.91.243.189|/KlausFuchs:2.2.2.2/|60018|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
98.208.163.161|/KlausFuchs:2.2.2.2/|60018|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
98.242.32.100|/KlausFuchs:2.2.2.2/|60018|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
98.251.58.136|/KlausFuchs:2.2.2.1/|60018|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
